HOMD.org Taxon Data::Site/Status Filter Applied Date: 2025-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMT_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Status,Body_site,Warning,Type_strain,16S_rRNA,Clone_count,Clone_%,Clone_rank,Synonyms,NCBI_taxon_id,NCBI_pubmed_count,NCBI_nucleotide_count,NCBI_protein_count,Genome_ID,General_info,Cultivability,Phenotypic_characteristics,Prevalence,Disease,References
300,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_300,Phylotype,Oral,0,,AF385554 | AY278625,,,,Oral Clone BR014 | Oral Clone C3MLM058 | Phylum: Bacteroidetes,712456,0,18,0,,,,,,,
301,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_301,Phylotype,Oral,0,,AF385558,,,,Oral Clone BS041 | Phylum: Bacteroidetes,712457,0,1,0,,,,,,,
302,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,rava,Named,Oral,0,81/4-12 | CCUG 58091 | DSM 22548,AF385564,,,,Oral Clone BU035 | Oral STain KCL-W6968 | Oral Strain F0020 | Phylum: Bacteroidetes | Prevotella sp. oral taxon 302,671218,1,141,3992,SEQF1671.1 | SEQF8127.1,<EM>Alloprevotella rava</EM> gen. nov. sp. nov. isolated from the human oral cavity and reclassification of <EM>Prevotella tannerae</EM> (Moore Johnson &amp;amp; Moore 1994) as <EM>Alloprevotella tannerae</EM> gen. nov. comb. nov.    PMID: 22753527.  Genome available as ACZK00000000.  Link to genome may be broken until name changed at NCBI from <EM>Prevotella</EM> sp. oral taxon 302 to <EM>Alloprevotella rava</EM>,,,,,
303,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pleuritidis,Named,Oral,0,,AY005063 | AY349392,,,,Oral Clone CY006 | Oral Clone FL019 | Phylum: Bacteroidetes,407975,1,207,5773,SEQF7367.1 | SEQF1935.1,,,,,,
304,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_304,Phylotype,Oral,0,,AY005065,,,,Oral Clone DA058 | Phylum: Bacteroidetes,712459,0,5,0,,,,,,,
305,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_305,Phylotype,Oral,0,,AF385509,,,,Oral Clone DO014 | Phylum: Bacteroidetes,712460,0,1,0,,,,,,,
306,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_306,Unnamed,Oral,0,,AF385511,,,,Oral Clone DO027 | Phylum: Bacteroidetes,712461,0,161,4681,SEQF1887.1,,,,,,
307,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,salivae,Named,Oral,0,,AF385512,,,,Oral Clone DO033 | Phylum: Bacteroidetes,228604,6,436,10913,SEQF1932.1 | SEQF2149.1 | SEQF7806.1 | SEQF7807.1 | SEQF7808.1 | SEQF7809.1 | SEQF7810.1,,,,,,
308,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,sp._HMT_308,Phylotype,Oral,0,,AF385513,,,,Oral Clone DO039 | Phylum: Bacteroidetes,1283313,0,0,0,,,,,,,
309,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_309,Phylotype,Oral,0,,AF385515,,,,Oral Clone DO045 | Phylum: Bacteroidetes,712463,0,1,0,,,,,,,
311,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oris,Named,Oral,0,,AY005056 | L16474,,,,Bacteroides oris | Oral Clone F045 | Phylum: Bacteroidetes,28135,33,832,13678,SEQF1656.1 | SEQF2510.1 | SEQF2683.1 | SEQF6384.1 | SEQF6385.1,,,,,,
312,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,viridans,Named,Unassigned,0,,,,,,Phylum: Firmicutes,1377,0,0,0,SEQF2883.2 | SEQF3882.1 | SEQF3883.1 | SEQF3884.1 | SEQF3885.1 | SEQF3886.1,,,,,,
313,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,jejuni,Unnamed,Oral,0,,AF432133 | AY349397,,,,Oral Clone FM005 | Oral Clone GI059 | Phylum: Bacteroidetes,652722,0,19,0,SEQF3063.1 | SEQF3696.1 | SEQF3697.1 | SEQF7405.1 | SEQF7406.1 | SEQF7407.1,,,,,,
314,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_314,Unnamed,Oral,0,,AY349393,,,,Oral Clone FU048 | Oral Strain TFI-F0054 | Phylum: Bacteroidetes,712464,0,15,0,SEQF3074.1,,,,,,
315,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_315,Phylotype,Oral,0,,AY349394,,,,Oral Clone FW035 | Phylum: Bacteroidetes,712465,0,2,0,,,,,,,
316,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Haematobacter,missouriensis,Named,Unassigned,0,,,,,,Phylum: Proteobacteria,366616,0,0,0,SEQF2853.1 | SEQF3991.1 | SEQF3992.1,,,,,,
317,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_317,Unnamed,Oral,0,,AY005061,,,,Oral Strain TFI-B31FD | Oral Strain TFI-F0055 | Phylum: Bacteroidetes,652721,0,395,5808,SEQF1477.1,Prevotella sp. Oral Taxon 317 strain F0108 has been isolated from a human subject by the Moore&#039;s Laboratory in April 1992. The subject was a 38 year old American black female. The bacteria was isolated from the subgingival oral biofilm at a healthy site. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference FJ577255. The strain is available at www.bei.org under the reference HM-5. This strain is part of the reference strains for the oral section of the Human Microbiome Project.,,,,,
318,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,sp._HMT_318,Phylotype,Unassigned,0,,AF385531,,,,Oral Clone AV100 | Phylum: Bacteroidetes,84567,0,0,0,,,,,,,
319,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,sp._HMT_319,Phylotype,Unassigned,0,,AF385544,,,,Oral Clone AY017 | Phylum: Bacteroidetes,712186,0,9,0,,,,,,,
320,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,sp._HMT_320,Phylotype,Unassigned,0,,AF385548,,,,Oral Clone AZ105 | Phylum: Bacteroidetes,1210116,0,0,0,,,,,,,
321,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,sp._HMT_321,Phylotype,Unassigned,0,,AF385549,,,,Oral Clone AZ123 | Phylum: Bacteroidetes,84567,0,0,0,,,,,,,
322,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,sp._HMT_322,Phylotype,Oral,0,,AY008691,,,,Oral Clone AK152 | Phylum: Bacteroidetes,712187,0,4,0,,,,,,,
323,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp._HMT_323,Unnamed,Oral,0,,AY005077,,,,Oral Strain TFI-A47ROY | Phylum: Bacteroidetes,1705617,0,0,0,SEQF2747.1,,,,,,
324,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp._HMT_324,Unnamed,Oral,0,,AY005079,,,,Oral Clone AA032 | Phylum: Bacteroidetes,712211,0,298,4585,SEQF1938.2,,,,,,
325,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,granulosa,Named,Oral,0,,AY005074 | U41347,,,,Oral Clone AH015 | Phylum: Bacteroidetes,45242,7,423,4714,SEQF1653.1 | SEQF5030.1 | SEQF5031.1,,,,,,
326,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,endodontalis,Unnamed,Oral,0,,AY005076,,,,Oral Clone BB167 | Oral Strain KCL-W5130 | Phylum: Bacteroidetes,2708117,0,505,6342,SEQF1900.1 | SEQF7326.1,,,,,,
327,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseriaceae_[G-1],bacterium_HMT_327,Phylotype,Unassigned,0,,,,,,Phylum: Proteobacteria,481,0,0,0,,,,,,,
328,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,mastitidis,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,161890,0,0,0,SEQF8606.1 | SEQF8607.1 | SEQF3083.1,,,,,,
329,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,leadbetteri,Named,Oral,0,,AF385569 | AY005075,,,,Oral Clone BM058 | Oral Clone BR085 | Oral Clone BU084 | Oral Strain TFI-F0087 | Phylum: Bacteroidetes,327575,2,7,0,SEQF1684.2 | SEQF5022.1 | SEQF5023.1,,,,,,
330,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_[O-1],Alphaproteobacteria_[F-1],Micavibrio,aeruginosavorus,Named,Unassigned,0,,,,,,Phylum: Proteobacteria,349221,0,0,0,SEQF2848.1 | SEQF6687.1,,,,,,
331,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,auricularis,Named,Unassigned,0,,,,,,Phylum: Firmicutes,29379,0,0,0,SEQF3084.1 | SEQF8152.1 | SEQF8153.1 | SEQF8154.1 | SEQF8155.1 | SEQF8156.1 | SEQF8157.1 | SEQF8158.1 | SEQF8159.1 | SEQF8160.1 | SEQF8161.1 | SEQF8162.1,,,,,,
332,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp._HMT_332,Unnamed,Oral,0,,AF366270,,,,Oral Clone DS022 | Oral Strain KCL-W4070 | Phylum: Bacteroidetes,712213,0,471,5395,SEQF1937.2,,,,,,
333,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,massiliense,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,441501,0,0,0,SEQF3085.1,,,,,,
334,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp._HMT_334,Phylotype,Unassigned,0,,AY008312,,,,Oral Clone EL034 | Phylum: Bacteroidetes,712214,0,1,0,,,,,,,
335,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp._HMT_335,Unnamed,Oral,0,,AY005078,,,,Oral Clone X066 | Phylum: Bacteroidetes,712215,0,80,3944,SEQF1906.1,,,,,,
336,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp._HMT_336,Unnamed,Oral,0,,AY005080,,,,Oral Clone X089 | Phylum: Bacteroidetes,712216,0,55,4185,SEQF1970.1,,,,,,
337,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,gingivalis,Named,Oral,0,,AY005073,,,,Phylum: Bacteroidetes,1017,81,296,5157,SEQF1602.1 | SEQF5852.1,,,,,,
338,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp._HMT_338,Unnamed,Oral,0,,U41352,,,,Oral Strain FDC-8 | Phylum: Bacteroidetes,710239,0,158,4857,SEQF1687.1,,,,,,
339,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Janibacter,indicus,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,857417,0,0,0,SEQF2885.1 | SEQF6317.1 | SEQF6318.1,,,,,,
340,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,paucivorans,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,170994,0,0,0,SEQF3172.1 | SEQF8796.1,,,,,,
341,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,coyleae,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,53374,0,0,0,SEQF9469.1 | SEQF9470.1 | SEQF9471.1 | SEQF9472.1 | SEQF9473.1 | SEQF9474.1 | SEQF2907.1 | SEQF2945.1 | SEQF2957.1 | SEQF2962.1 | SEQF2968.1 | SEQF3003.1 | SEQF3004.1 | SEQF3007.1 | SEQF3008.1 | SEQF3038.1,,,,,,
342,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,panipatense,Named,Unassigned,0,,,,,,Phylum: Proteobacteria,428991,0,0,0,SEQF3086.1,,,,,,
343,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,xylosoxidans,Named,Unassigned,0,,Y14907,,,,Alcaligenes xylosoxidans | Phylum: Proteobacteria,85698,325,3185,81905,SEQF1926.1 | SEQF2029.1 | SEQF2030.1 | SEQF2546.1 | SEQF2610.1 | SEQF5378.1 | SEQF5379.1 | SEQF5380.1 | SEQF5381.1 | SEQF5382.1 | SEQF5383.1 | SEQF5384.1 | SEQF5385.1 | SEQF5386.1 | SEQF5387.1 | SEQF5388.2 | SEQF5389.1 | SEQF5390.2 | SEQF5391.1 | SEQF5392.1 | SEQF5393.1 | SEQF5394.1 | SEQF5395.2 | SEQF5396.1 | SEQF5397.1 | SEQF5398.1 | SEQF5399.1 | SEQF5400.1 | SEQF5401.1 | SEQF5402.1 | SEQF5403.1 | SEQF5404.1 | SEQF5405.1 | SEQF5406.1 | SEQF5407.1 | SEQF5408.1 | SEQF5409.1 | SEQF5410.1 | SEQF5411.1 | SEQF5412.1 | SEQF5413.1 | SEQF5414.1 | SEQF5415.1 | SEQF5416.1 | SEQF5417.1 | SEQF5418.1 | SEQF5419.1 | SEQF5420.1 | SEQF5421.1 | SEQF5422.1 | SEQF5423.1,,,,,,
344,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,luteola,Named,Unassigned,0,,,,,,Phylum: Proteobacteria,47886,0,0,0,SEQF3076.1 | SEQF7361.1 | SEQF7362.1 | SEQF7363.1 | SEQF7364.1 | SEQF7365.1 | SEQF7366.1,,,,,,
345,Bacteria,Absconditabacteria_(SR1),Absconditabacteria_(SR1)_[C-1],Absconditabacteria_(SR1)_[O-1],Absconditabacteria_(SR1)_[F-1],Absconditabacteria_(SR1)_[G-1],bacterium_HMT_345,Phylotype,Oral,0,,AF125207,,,,Oral Clones X112 | Phylum: Absconditabacteria_(SR1),713029,0,0,0,,The proposed phylum OP11 has been split into multiple phyla including SR1.,,,,,
346,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-1],bacterium_HMT_346,Phylotype,Oral,0,,AF125204,,,,Oral Clone AH040 | Phylum: Saccharibacteria_(TM7),713049,0,0,0,SEQF3730.1 | SEQF3731.1 | SEQF3732.1,,,,,,
347,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-1],bacterium_HMT_347,Phylotype,Oral,0,,AY005446,,,,Oral Clone BE109 | Phylum: Saccharibacteria_(TM7),713050,0,0,0,,,,,,,
348,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-1],bacterium_HMT_348,Phylotype,Oral,0,,GQ422738,,,,Oral Clone BN036 | Phylum: Saccharibacteria_(TM7),671231,0,0,0,SEQF1468.1 | SEQF1469.1 | SEQF6699.1 | SEQF6700.1 | SEQF6701.1 | SEQF6702.1,,,,,,
349,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-1],bacterium_HMT_349,Phylotype,Oral,0,,AY005448,,,,Oral Clone BS003 | Phylum: Saccharibacteria_(TM7),713051,0,0,0,SEQF3678.1 | SEQF5375.1,,,,,,
350,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-2],bacterium_HMT_350,Phylotype,Oral,0,,AF385568,,,,Oral Clone BU080 | Phylum: Saccharibacteria_(TM7),713052,0,0,0,SEQF6952.1,,,,,,
351,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-3],bacterium_HMT_351,Phylotype,Oral,0,,AF385506,,,,Oral Clone CW040 | Phylum: Saccharibacteria_(TM7),713053,0,0,0,SEQF6053.1 | SEQF6054.1 | SEQF6055.1 | SEQF6056.1,,,,,,
352,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-1],bacterium_HMT_352,Phylotype,Oral,0,,AF385520,,,,Oral Clone DR034 | Phylum: Saccharibacteria_(TM7),713054,0,0,0,SEQF9458.1 | SEQF9459.1 | SEQF9460.1 | SEQF9461.1 | SEQF9462.1 | SEQF9463.1 | SEQF9464.1 | SEQF9465.1 | SEQF9466.1 | SEQF9467.1 | SEQF9468.1,,,,,,
353,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-1],bacterium_HMT_353,Unnamed,Oral,0,,,,,,,1895827,0,0,0,SEQF3720.1,,,,,,
354,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Dermabacter,hominis,Named,Unassigned,0,,,,,,Phylum: Actinobacteria,36740,0,0,0,SEQF2887.1 | SEQF3077.1 | SEQF7473.1,,,,,,
355,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-4],bacterium_HMT_355,Phylotype,Oral,0,,AF125205,,,,Oral Clone F061 | Phylum: Saccharibacteria_(TM7),713056,0,0,0,,,,,,,
356,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-2],Saccharibacteria_(TM7)_[G-5],bacterium_HMT_356,Phylotype,Oral,0,,AF125206,,,,Oral Clone I025 | Phylum: Saccharibacteria_(TM7),713057,0,0,0,,,,,,,
357,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter,piscolens,Named,Oral,0,W5455,AY005444 | AY278615 | EU309492,,,,Oral Clone BA121 | Oral Clone C2ALM009 | Oral Strain W5455 | Phylum: Synergistetes,638849,3,313,5512,SEQF9334.1 | SEQF1611.1,Belongs to the cultivable cluster of the phylum 'Synergistetes' and related to Jonquetella anthropi [1].,After 7-day incubation on Fastidious Anaerobe Agar plates (incorporating 5 % horse blood) strains of this species form circular entire high convex colonies around 1 mm in diameter.,Gram-negative obligately anaerobic cocco-bacilli to short bacilli. Strains are asaccharolytic and generally biochemically unreactive although hydrogen sulphide is produced. Acetic and isovaleric acids and minor to trace amounts of propionic isobutyric succinic and phenyl-acetic acids are produced as end products of fermentation. The G + C content of the DNA of the type strain is 59 mol %.,Found in the human mouth and vagina.,Has been isolated from dvanced dental caries acute dentoalveolar infections and subgingival plaque in periodontitis.,
358,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp._HMT_358,Phylotype,Oral,0,,AY005445,,,,Oral Clone BB062 | Phylum: Synergistetes,1434006,0,0,0,,,,,,,
359,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp._HMT_359,Phylotype,Oral,0,,AY005447,,,,Oral Clone BH007 | Phylum: Synergistetes,1434006,0,0,0,,,,,,,
360,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp._HMT_360,Phylotype,Oral,0,,AF125199,,,,Oral Clone BH017 | Phylum: Synergistetes,1434006,0,0,0,,,,,,,
361,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp._HMT_361,Phylotype,Oral,0,,AF125201 | AF481214 | AY349372,,,,Oral Clone D006 | Oral Clone JV023 | Oral Clone MCE7_5 | Phylum: Synergistetes,1434006,0,0,0,,,,,,,
362,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp._HMT_362,Phylotype,Oral,0,,AF125200,,,,Oral Clone D084 | Phylum: Synergistetes,1434006,0,0,0,,,,,,,
363,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,fastidiosum,Named,Oral,0,DSM 25557 | JCM 16858 | SGP1,AF125202 | AF125203 | AF481215,,,,Oral Clone MCE2_120 | Oral Clone W028 | Oral Clone W090 | Phylum: Synergistetes | Strain SGP1,651822,4,4,4296,SEQF1674.1,,,,,,
364,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-3],bacterium_HMT_364,Phylotype,Oral,0,,,,,,,1895827,0,0,0,,,,,,,
365,Bacteria,Bacteroidetes,Bacteroidetes_[C-1],Bacteroidetes_[O-1],Bacteroidetes_[F-1],Bacteroidetes_[G-3],bacterium_HMT_365,Phylotype,Oral,0,,AF481206 | DQ003626,,,,Bacteroidales genomosp. P8 | Oral Clone MB4_G15 | Oral Clone MCE7_164 | Phylum: Bacteroidetes,200643,0,0,0,,,,,,,
366,Bacteria,Firmicutes,Clostridia,Eubacteriales,Ruminococcaceae,Ruminococcaceae_[G-3],bacterium_HMT_366,Phylotype,Unassigned,0,,AF481208,,,,Oral Clone MCE3_9 | Phylum: Firmicutes,216572,0,0,0,,,,,,,
367,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-3],bacterium_HMT_367,Phylotype,Oral,0,,,,,,,1895827,0,0,0,,,,,,,
368,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,cinnamea,Named,Unassigned,0,CCUG 50875,AF481211,,,,Oral Strain KCL-W5195 | Phylum: Actinobacteria,321318,0,9,0,SEQF2890.2 | SEQF3071.1 | SEQF7615.1 | SEQF7616.1 | SEQF7617.1 | SEQF7618.1,,,,,,
369,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcaceae_[G-4],bacterium_HMT_369,Phylotype,Oral,0,,AF481212,,,,Oral Clone MCE10_174 | Phylum: Firmicutes,186804,0,0,0,,,,,,,
370,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,sp._HMT_370,Unnamed,Oral,0,,AF481217,,,,Oral Strain KCL-W5205 | Phylum: Fusobacteria,712288,0,587,4497,SEQF1879.1,,,,,,
371,Bacteria,Saccharibacteria_(TM7),Saccharibacteria_(TM7)_[C-1],Saccharibacteria_(TM7)_[O-1],Saccharibacteria_(TM7)_[F-1],Saccharibacteria_(TM7)_[G-3],bacterium_HMT_371,Phylotype,Oral,0,,,,,,,1895827,0,0,0,,,,,,,
373,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Stomatobaculum,sp._HMT_373,Phylotype,Oral,0,,AF481221,,,,Oral Clone MCE9_173 | Phylum: Firmicutes,1213720,0,0,0,,,,,,,
374,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,cellulans,Named,,0,,,,,,,1710,0,0,0,SEQF3705.1 | SEQF3976.1 | SEQF3977.1 | SEQF3978.1 | SEQF3979.1 | SEQF3980.1 | SEQF3981.1 | SEQF3982.1 | SEQF3983.1 | SEQF3984.1 | SEQF3985.1 | SEQF3986.1 | SEQF3987.1 | SEQF3988.1 | SEQF3989.1 | SEQF3990.1,,,,,,
375,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,sp._HMT_375,Unnamed,Unassigned,0,,AF481225,,,,Oral Strain KCL-E3_32 | Oral Strain KCL-W3886 | Phylum: Firmicutes,712430,0,13,4228,SEQF1855.2,,,,,,
376,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp._HMT_376,Unnamed,Oral,0,,AF481226,,,,Oral Strain KCL-E7_34 | Oral Strain KCL-W4029 | Phylum: Bacteroidetes,712466,0,18,0,SEQF3055.1,,,,,,
377,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcaceae_[G-7],[Eubacterium]_yurii,Named,Oral,0,,L34629,,,,Eubacterium yurii subsp. margaratiae | Eubacterium yurii subsp. yurii | Phylum: Firmicutes,186804,0,0,0,SEQF1912.1,Reference sequences for [Eubacterium] yurii subsps. yurii and margaratiae are >>99% identical by 16S rRNA and so given only one HOT-#.,,,,,
378,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,micans,Named,Oral,0,,AF481228,,,,Phylum: Bacteroidetes | Prevotella sp. E7_56,189723,2,484,4513,SEQF1863.1 | SEQF2509.1 | SEQF2682.1,,,,,,
380,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp._HMT_380,Unnamed,Oral,0,,AF538853,,,,Oral Strain KCL-E7_56 | Oral Strain KCL-W5098 | Phylum: Bacteroidetes,712217,0,360,4454,SEQF1950.2,,,,,,
381,Bacteria,Firmicutes,Clostridia,Eubacteriales,Ruminococcaceae,Ruminococcaceae_[G-3],bacterium_HMT_381,Phylotype,Unassigned,0,,AF538854,,,,Oral Cone P4PB_122 | Phylum: Firmicutes,216572,0,0,0,,,,,,,
382,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcaceae_[G-8],bacterium_HMT_382,Phylotype,Unassigned,0,,AF538855,,,,Oral Clone P2PC_29 | Phylum: Firmicutes,186804,0,0,0,,,,,,,
383,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcaceae_[G-1],bacterium_HMT_383,Phylotype,Unassigned,0,,AF538856,,,,Oral Clone P2PB_46 | Phylum: Firmicutes,186804,0,0,0,,,,,,,
