tax_id	taxonomy	type	name	kingdom
200930.0	root|cellular_organisms|Bacteria|Deferribacteres	phylum	Deferribacteres	Bacteria
67819.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Armatimonadetes	phylum	Armatimonadetes	Bacteria
651137.0	root|cellular_organisms|Archaea|TACK_group|Thaumarchaeota	phylum	Thaumarchaeota	Archaea
1930617.0	root|cellular_organisms|Bacteria|Calditrichaeota	phylum	Calditrichaeota	Bacteria
1134404.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Ignavibacteriae	phylum	Ignavibacteriae	Bacteria
1936987.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Balneolaeota	phylum	Balneolaeota	Bacteria
1293497.0	root|cellular_organisms|Bacteria|Nitrospinae/Tectomicrobia_group|Nitrospinae	phylum	Nitrospinae	Bacteria
134625.0	root|cellular_organisms|Bacteria|PVC_group|Kiritimatiellaeota	phylum	Kiritimatiellaeota	Bacteria
1855361.0	root|cellular_organisms|Bacteria|FCB_group|Candidatus_Kryptonia	phylum	Candidatus Kryptonia	Bacteria
68525.0	root|cellular_organisms|Bacteria|Proteobacteria|delta/epsilon_subdivisions	subphylum	delta/epsilon subdivisions	Bacteria
451866.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|Taphrinomycotina	subphylum	Taphrinomycotina	Fungi
451507.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota|Mucoromycotina	subphylum	Mucoromycotina	Fungi
1264859.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota|Entomophthoromycotina	subphylum	Entomophthoromycotina	Fungi
214504.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota|Glomeromycotina	subphylum	Glomeromycotina	Fungi
147537.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina	subphylum	Saccharomycotina	Fungi
5302.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Agaricomycotina	subphylum	Agaricomycotina	Fungi
29000.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Pucciniomycotina	subphylum	Pucciniomycotina	Fungi
147538.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina	subphylum	Pezizomycotina	Fungi
452284.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Ustilaginomycotina	subphylum	Ustilaginomycotina	Fungi
431838.0	root|cellular_organisms|Eukaryota|Alveolata|Ciliophora|Intramacronucleata	subphylum	Intramacronucleata	Eukaryota
